sku;qty;color_id;size_id;price
111013;8;21;14;0
111013;6;21;7;0
111013;7;21;3;0
121013;6;21;4;0
121013;6;21;5;0
121013;6;21;15;0
131013;0;2;8;0
131013;0;2;7;0
131013;0;2;14;0
131013;2;8;8;0
131013;0;8;7;0
131013;0;8;14;0
131013;24;37;8;0
131013;21;37;7;0
131013;20;37;14;0
141013;4;102;7;0
141013;0;102;14;0
141013;3;102;3;0
141013;0;102;7;0
141013;0;102;14;0
141013;0;102;3;0
141013;2;31;7;0
141013;1;31;14;0
141013;1;31;3;0
540119;10;25;6;0
540119;11;25;1;0
540119;9;25;2;0
580116;22;8;15;0
580116;19;8;16;0
580116;20;8;17;0
580116;15;8;6;0
580116;36;12;15;0
580116;33;12;16;0
580116;34;12;17;0
580116;22;12;6;0
580116;0;37;15;0
580116;0;37;16;0
580116;0;37;17;0
580116;0;37;6;0
590116;18;38;4;0
590116;17;38;7;0
590116;18;38;14;0
590116;16;38;3;0
600116;0;2;5;0
600116;0;2;15;0
600116;0;2;16;0
600116;0;2;17;0
600116;0;18;5;0
600116;0;18;15;0
600116;0;18;16;0
600116;0;18;17;0
600116;0;28;5;0
600116;0;28;15;0
600116;0;28;16;0
600116;0;28;17;0
600116;20;38;5;0
600116;19;38;15;0
600116;19;38;16;0
600116;21;38;17;0
660112;8;26;16;0
660112;8;26;17;0
660112;9;26;15;0
670112;26;26;1;0
670112;26;26;2;0
670112;26;26;6;0
720119;0;3;3;0
720119;0;3;4;0
720119;0;3;5;0
720119;0;2;3;0
720119;0;2;4;0
720119;0;2;5;0
720119;0;31;3;0
720119;0;31;4;0
720119;0;31;5;0
720119;0;32;3;0
720119;0;32;4;0
720119;0;32;5;0
720119;0;28;3;0
720119;0;28;4;0
720119;0;28;5;0
720119;1;13;3;0
720119;0;13;4;0
720119;0;13;5;0
720119;2;5;3;0
720119;0;5;4;0
720119;0;5;5;0
720119;1;35;3;0
720119;0;35;4;0
720119;0;35;5;0
720119;0;62;3;0
720119;0;62;4;0
720119;0;62;5;0
720119;2;6;3;0
720119;7;6;4;0
720119;5;6;5;0
720119;0;17;3;0
720119;0;17;4;0
720119;0;17;5;0
720119;0;20;3;0
720119;0;20;4;0
720119;0;20;5;0
720119;0;38;3;0
720119;0;38;4;0
720119;0;38;5;0
730119;0;3;15;0
730119;0;3;16;0
730119;0;3;17;0
730119;0;2;15;0
730119;0;2;16;0
730119;0;2;17;0
730119;0;31;15;0
730119;0;31;16;0
730119;0;31;17;0
730119;0;32;15;0
730119;0;32;16;0
730119;0;32;17;0
